Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013523,Hull.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,845,1,Demo20241217013523,Hull.3dm,
GUSDK:GeometriesToInternal,844,1,Demo20241217013523,Hull.3dm,
UploadGeometries,604,1,Demo20241217013523,Hull.3dm,
UploadBinaryPacksAsGeometries,602,1,Demo20241217013523,Hull.3dm,
UploadCustomGeometries,39279,0,Demo20241217013523,Hull.3dm,
AssetToSyncResult,0,1,Demo20241217013523,Hull.3dm,
GetSchemasAsync,0,1,Demo20241217013523,Hull.3dm,
RelationshipToSyncRequest,0,1,Demo20241217013523,Hull.3dm,
SchemaToSyncRequest,0,1,Demo20241217013523,Hull.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013523,Hull.3dm,
TriggerBatchedSyncRequests,0,1,Demo20241217013523,Hull.3dm,
TriggerProcessGeometry,0,1,Demo20241217013523,Hull.3dm,
WaitForAllSyncCalls,246,1,Demo20241217013523,Hull.3dm,
FinishFulfillment,260,1,Demo20241217013523,Hull.3dm,
PollForFulfillment,2391,1,Demo20241217013523,Hull.3dm,
SaveToCache,6,1,Demo20241217013523,Hull.3dm,
UpdateExchangeAsync:GenerateViewableAsync,33365,1,Demo20241217013523,Hull.3dm,
GenerateACCViewable,3365,1,Demo20241217013523,Hull.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo20241217013617,magazine.3dm,
CreateExchangeAsync,3534,1,Demo20241217013617,magazine.3dm,
UpdateExchangeAsync,42655,2,Demo20241217013617,magazine.3dm,
GetExchangeFromCache,0,1,Demo20241217013617,magazine.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,166,1,Demo20241217013617,magazine.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,165,1,Demo20241217013617,magazine.3dm,
ExportAndCreateBrep,164,1,Demo20241217013617,magazine.3dm,
CreateMeshElement:CreateMeshGeometry,164,1,Demo20241217013617,magazine.3dm,
CreateCustomParameter:CreateParameter,0,1,Demo20241217013617,magazine.3dm,
GetSchemaAsync,0,2,Demo20241217013617,magazine.3dm,
GetSchemaAsync:GetFromResource,0,2,Demo20241217013617,magazine.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,4225,1,Demo20241217013617,magazine.3dm,
SyncExchangeDataAsync,4225,1,Demo20241217013617,magazine.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013617,magazine.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,435,1,Demo20241217013617,magazine.3dm,
GUSDK:GeometriesToInternal,434,1,Demo20241217013617,magazine.3dm,
UploadGeometries,676,1,Demo20241217013617,magazine.3dm,
UploadBinaryPacksAsGeometries,675,1,Demo20241217013617,magazine.3dm,
UploadCustomGeometries,40114,0,Demo20241217013617,magazine.3dm,
AssetToSyncResult,0,1,Demo20241217013617,magazine.3dm,
GetSchemasAsync,0,1,Demo20241217013617,magazine.3dm,
RelationshipToSyncRequest,0,1,Demo20241217013617,magazine.3dm,
SchemaToSyncRequest,0,1,Demo20241217013617,magazine.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013617,magazine.3dm,
TriggerBatchedSyncRequests,0,1,Demo20241217013617,magazine.3dm,
TriggerProcessGeometry,0,1,Demo20241217013617,magazine.3dm,
WaitForAllSyncCalls,275,1,Demo20241217013617,magazine.3dm,
FinishFulfillment,253,1,Demo20241217013617,magazine.3dm,
PollForFulfillment,2350,1,Demo20241217013617,magazine.3dm,
SaveToCache,4,1,Demo20241217013617,magazine.3dm,
